"query","api","endpoint","method","request","expected_response","scenario_type","test_category","notes"
"Create new order with valid customer and item details","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}], ""shipping_address"": {""line1"": ""12 Park Lane"", ""city"": ""Jaipur"", ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}}","{""status"": ""created"", ""message"": ""Order created and payment authorized."", ""order_id"": ""ord_20251129_0001""}","valid","valid_flow","Test creating a new order with valid customer and item details"
"Create new order with invalid customer id","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""invalid_cust"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}], ""shipping_address"": {""line1"": ""12 Park Lane"", ""city"": ""Jaipur"", ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}}","{""status"": ""error"", ""message"": ""Invalid customer id""}","edge","error_case","Test creating a new order with invalid customer id"
"Create new order with missing shipping address","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}}","{""status"": ""error"", ""message"": ""Missing shipping address""}","edge","error_case","Test creating a new order with missing shipping address"
"Create new order with invalid payment method","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}], ""shipping_address"": {""line1"": ""12 Park Lane"", ""city"": ""Jaipur"", ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}, ""payment"": {""method"": ""invalid_method"", ""card_token"": ""tok_test_4242""}}","{""status"": ""error"", ""message"": ""Invalid payment method""}","edge","error_case","Test creating a new order with invalid payment method"
"Create new order with typo in customer id","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123t"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}], ""shipping_address"": {""line1"": ""12 Park Lane"", ""city"": ""Jaipur"", ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}}","{""status"": ""error"", ""message"": ""Invalid customer id""}","edge","typo","Test creating a new order with typo in customer id"
"Create new order with duplicate items","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}, {""product_id"": ""prod_ABC123"", ""quantity"": 2}], ""shipping_address"": {""line1"": ""12 Park Lane"", ""city"": ""Jaipur"", ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}}","{""status"": ""error"", ""message"": ""Duplicate items""}","edge","error_case","Test creating a new order with duplicate items"
"Create new order with invalid item quantity","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": -2}], ""shipping_address"": {""line1"": ""12 Park Lane"", ""city"": ""Jaipur"", ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}}","{""status"": ""error"", ""message"": ""Invalid item quantity""}","edge","error_case","Test creating a new order with invalid item quantity"
"Create new order with missing payment method","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}], ""shipping_address"": {""line1"": ""12 Park Lane"", ""city"": ""Jaipur"", ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""status"": ""error"", ""message"": ""Missing payment method""}","edge","error_case","Test creating a new order with missing payment method"
"Create new order with invalid card token","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}], ""shipping_address"": {""line1"": ""12 Park Lane"", ""city"": ""Jaipur"", ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}, ""payment"": {""method"": ""card"", ""card_token"": ""invalid_token""}}","{""status"": ""error"", ""message"": ""Invalid card token""}","edge","error_case","Test creating a new order with invalid card token"
"Create new order with typo in payment method","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}], ""shipping_address"": {""line1"": ""12 Park Lane"", ""city"": ""Jaipur"", ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}, ""payment"": {""method"": ""cardd"", ""card_token"": ""tok_test_4242""}}","{""status"": ""error"", ""message"": ""Invalid payment method""}","edge","typo","Test creating a new order with typo in payment method"
