"query","api","endpoint","method","request","expected_response","scenario_type","test_category","notes"
"Create a standard customer order with two items using a credit card for payment. The shipping address includes all necessary details.","Create_Customer_Order","/v1/orders","POST","{""url"": ""https://api.example-shop.com/v1/orders"", ""body"": {""customer_id"": ""cust_1A2B3C4D"", ""items"": [{""product_id"": ""prod_ELEC456"", ""quantity"": 1}, {""product_id"": ""prod_BOOK789"", ""quantity"": 2}], ""shipping_address"": {""line1"": ""123 Cyber Street"", ""line2"": ""Tech Park"", ""city"": ""Bengaluru"", ""state"": ""KA"", ""postal_code"": ""560100"", ""country"": ""IN""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_visa_1a2b3c""}, ""notes"": ""Please gift wrap the books.""}, ""headers"": {""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_api_key_valid""}, ""query_parameters"": {}}","{""status"": ""created"", ""message"": ""Order created and payment authorized."", ""order_id"": ""ord_20251201_0003""}","valid","valid_flow","Standard valid case with multiple items and card payment."
"Process a new ordr for a single item paid via UPI. The customer has no special instructions.","Create_Customer_Order","/v1/orders","POST","{""url"": ""https://api.example-shop.com/v1/orders"", ""body"": {""customer_id"": ""cust_5E6F7G8H"", ""items"": [{""product_id"": ""prod_HOME101"", ""quantity"": 1}], ""shipping_address"": {""line1"": ""456 Main Road"", ""city"": ""Mumbai"", ""state"": ""MH"", ""postal_code"": ""400001"", ""country"": ""IN""}, ""payment"": {""method"": ""upi"", ""upi_id"": ""exampleuser@okbank""}, ""notes"": null}, ""headers"": {""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_api_key_valid""}, ""query_parameters"": {}}","{""status"": ""pending_payment"", ""message"": ""Order created. Awaiting UPI payment confirmation."", ""order_id"": ""ord_20251201_0004""}","valid","typo","Valid case for UPI payment with a null 'notes' field and a typo in the query."
"Submit a cash on delivery (COD) order for three different products. Shipping address does not have a second line.","Create_Customer_Order","/v1/orders","POST","{""url"": ""https://api.example-shop.com/v1/orders"", ""body"": {""customer_id"": ""cust_9I0J1K2L"", ""items"": [{""product_id"": ""prod_FASH303"", ""quantity"": 1}, {""product_id"": ""prod_FASH304"", ""quantity"": 1}, {""product_id"": ""prod_ACC111"", ""quantity"": 3}], ""shipping_address"": {""line1"": ""789 Ganges Street"", ""city"": ""Varanasi"", ""state"": ""UP"", ""postal_code"": ""221001"", ""country"": ""IN""}, ""payment"": {""method"": ""cod""}}, ""headers"": {""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_api_key_valid""}, ""query_parameters"": {}}","{""status"": ""created"", ""message"": ""Order created successfully for Cash on Delivery."", ""order_id"": ""ord_20251201_0005""}","valid","valid_flow","Valid COD order with multiple items and no optional fields."
"Create an order using netbanking. Override the default currency to USD for an international customer.","Create_Customer_Order","/v1/orders","POST","{""url"": ""https://api.example-shop.com/v1/orders"", ""body"": {""customer_id"": ""cust_3M4N5O6P"", ""items"": [{""product_id"": ""prod_GADGET222"", ""quantity"": 1}], ""shipping_address"": {""line1"": ""101 Silicon Alley"", ""city"": ""Hyderabad"", ""state"": ""TS"", ""postal_code"": ""500081"", ""country"": ""IN""}, ""payment"": {""method"": ""netbanking"", ""netbanking_id"": ""nb_icici_user123""}}, ""headers"": {""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_api_key_valid""}, ""query_parameters"": {""currency"": ""USD""}}","{""status"": ""created"", ""message"": ""Order created successfully."", ""currency"": ""USD"", ""order_id"": ""ord_20251201_0006""}","valid","valid_flow","Valid netbanking case demonstrating the use of the optional 'currency' query parameter."
"Place a bulk order for a single product using a credit card. The customer ID contains hyphens.","Create_Customer_Order","/v1/orders","POST","{""url"": ""https://api.example-shop.com/v1/orders"", ""body"": {""customer_id"": ""cust-corporate-7Q8R9S"", ""items"": [{""product_id"": ""prod_OFFICE555"", ""quantity"": 50}], ""shipping_address"": {""line1"": ""Corporate Towers"", ""line2"": ""Floor 15"", ""city"": ""Gurugram"", ""state"": ""HR"", ""postal_code"": ""122002"", ""country"": ""IN""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_amex_corp_4e5f6""}}, ""headers"": {""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_api_key_valid""}, ""query_parameters"": {}}","{""status"": ""created"", ""message"": ""Order created and payment authorized."", ""order_id"": ""ord_20251201_0007""}","valid","valid_flow","Valid bulk order with a customer ID format variation."
"Generate a new customer ordar with a UPI payment, and include a request ID for idempotency.","Create_Customer_Order","/v1/orders","POST","{""url"": ""https://api.example-shop.com/v1/orders"", ""body"": {""customer_id"": ""cust_T1U2V3W4"", ""items"": [{""product_id"": ""prod_SPORT999"", ""quantity"": 1}], ""shipping_address"": {""line1"": ""99 Stadium Road"", ""city"": ""Chennai"", ""state"": ""TN"", ""postal_code"": ""600001"", ""country"": ""IN""}, ""payment"": {""method"": ""upi"", ""upi_id"": ""athlete99@ybl""}}, ""headers"": {""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_api_key_valid"", ""X-Request-ID"": ""uuid-abc-123-xyz-789""}, ""query_parameters"": {}}","{""status"": ""pending_payment"", ""message"": ""Order created. Awaiting UPI payment confirmation."", ""order_id"": ""ord_20251201_0008""}","valid","typo","Valid UPI order using an idempotency key and a typo in the query."
"A customer places an order with a very long note for special delivery instructions. Payment method is COD.","Create_Customer_Order","/v1/orders","POST","{""url"": ""https://api.example-shop.com/v1/orders"", ""body"": {""customer_id"": ""cust_X5Y6Z7A8"", ""items"": [{""product_id"": ""prod_FRAGILE123"", ""quantity"": 1}], ""shipping_address"": {""line1"": ""1 Delicate Lane"", ""city"": ""Kochi"", ""state"": ""KL"", ""postal_code"": ""682001"", ""country"": ""IN""}, ""payment"": {""method"": ""cod""}, ""notes"": ""This is a very fragile item. Please handle with extreme care. Do not stack any other packages on top of this one. Deliver only between 10 AM and 2 PM and call the number on the package 15 minutes before arrival. Thank you for your careful attention to these instructions.""}, ""headers"": {""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_api_key_valid""}, ""query_parameters"": {}}","{""status"": ""created"", ""message"": ""Order created successfully for Cash on Delivery."", ""order_id"": ""ord_20251201_0009""}","valid","valid_flow","Valid COD order with a long string in the 'notes' field."
"Create an order where the product ID has mixed case and numbers. Payment is by card.","Create_Customer_Order","/v1/orders","POST","{""url"": ""https://api.example-shop.com/v1/orders"", ""body"": {""customer_id"": ""cust_B9C8D7E6"", ""items"": [{""product_id"": ""Prod-Gadget-V2-Alpha"", ""quantity"": 1}], ""shipping_address"": {""line1"": ""22 Innovation Drive"", ""city"": ""Pune"", ""state"": ""MH"", ""postal_code"": ""411057"", ""country"": ""IN""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_mastercard_7d8e9f""}}, ""headers"": {""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_api_key_valid""}, ""query_parameters"": {}}","{""status"": ""created"", ""message"": ""Order created and payment authorized."", ""order_id"": ""ord_20251201_0010""}","valid","valid_flow","Valid order with a complex product ID string."
"A simple one-item order using netbanking, with a shipping address that contains a long second line.","Create_Customer_Order","/v1/orders","POST","{""url"": ""https://api.example-shop.com/v1/orders"", ""body"": {""customer_id"": ""cust_F5G6H7I8"", ""items"": [{""product_id"": ""prod_KITCHEN404"", ""quantity"": 1}], ""shipping_address"": {""line1"": ""Sunstone Apartments"", ""line2"": ""Building C, Flat 1204, Near the Grand Lake"", ""city"": ""Noida"", ""state"": ""UP"", ""postal_code"": ""201301"", ""country"": ""IN""}, ""payment"": {""method"": ""netbanking"", ""netbanking_id"": ""nb_sbi_user456""}}, ""headers"": {""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_api_key_valid""}, ""query_parameters"": {}}","{""status"": ""created"", ""message"": ""Order created successfully."", ""order_id"": ""ord_20251201_0011""}","valid","valid_flow","Valid case testing a long string in 'shipping_address.line2'."
"Place an order with a non-Indian but valid country code and postal code format. Payment is by card.","Create_Customer_Order","/v1/orders","POST","{""url"": ""https://api.example-shop.com/v1/orders"", ""body"": {""customer_id"": ""cust_INTL_J9K8L7"", ""items"": [{""product_id"": ""prod_TRAVEL101"", ""quantity"": 1}], ""shipping_address"": {""line1"": ""10 Downing Street"", ""city"": ""London"", ""state"": ""London"", ""postal_code"": ""SW1A 2AA"", ""country"": ""GB""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_intl_card_123""}}, ""headers"": {""Content-Type"": ""application/json"", ""Authorization"": ""Bearer test_api_key_valid""}, ""query_parameters"": {}}","{""status"": ""created"", ""message"": ""Order created and payment authorized."", ""order_id"": ""ord_20251201_0012""}","valid","valid_flow","Valid order with a non-Indian address format to test flexibility."
