"query","api","endpoint","method","request","expected_response","scenario_type","test_category","notes"
"Submit a new order for customer ID cust_123 with two items and card payment.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","clean","clean"
"Process an order for customer cust_456, shipping to 123 Main St, using UPI.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","clean","clean"
"Initiate a purchase for items: prod_A (qty 1), prod_B (qty 3). Customer cust_789, netbanking payment.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","clean","clean"
"Create a customer order with the following details: customer cust_001, items [prod_X: 1], shipping address [line1: '10 Oak Ave', city: 'Springfield'], payment method: card.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","clean","clean"
"Record a new sales order for account cust_222, including product P1 (quantity 2) and P2 (quantity 1), deliver to specified address, pay by COD.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","clean","clean"
"Can you place an order for customer cust_333, shipping to 789 Pine Rd, with products item_1 (x2) and item_2 (x1)? Payment via card token.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","clean","clean"
"Please generate an order for customer cust_444 with two units of product 'widget' and one unit of 'gadget', shipping to London, UK. Payment method is UPI.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","clean","clean"
"Execute an order for cust_555. Items: product_alpha (qty 1), product_beta (qty 5). Shipping to 55 Elm St, New York. Payment through netbanking.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","clean","clean"
"New order request for cust_666. Two 'premium_shoes' and one 'sports_bag'. Ship to postal code 90210. Use card payment.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","clean","clean"
"Register an order for customer cust_777 with items 'book_A' (qty 3) and 'pen_B' (qty 1). Ship to 10 Downing St, London, UK. Payment via COD.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","clean","clean"
"Submitt a new ordar for custumer ID cust_123 with two itms and card paymnt.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","typo","typo"
"Proces an ordr for cust_456, shiping to 123 Main St, usin UPI.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","typo","typo"
"Initate a purchse for items: prod_A (qty 1), prod_B (qty 3). Custumer cust_789, netbankin paymnt.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","typo","typo"
"Creaet a custmer ordr with the folowing detials: custmer cust_001, itms [prod_X: 1], shiping adress [line1: '10 Oak Ave', city: 'Springfield'], paymnt methd: crd.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","typo","typo"
"Yo, hook me up with an order for cust_123, two of those gizmos, pay with plastic.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","slang","slang"
"Can you whip up an order for cust_456, send it to the usual spot, UPI me.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","slang","slang"
"Gotta get an order in for cust_789, one of each, COD it.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","slang","slang"
"Run a dry run for creating an order for cust_123 with prod_X (qty 1) and card payment.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","testing","testing"
"Test order placement for customer cust_456, check stock for prod_Y (qty 10), but don't commit.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","testing","testing"
"Place order for cust_999.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","edge_case","edge_case"
"Submit a new order for product ID prod_ABC123, quantity 2, with card payment.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","clean","clean"
"Create a customer order for items prod_XYZ789 and prod_PQR456, shipping to Bengaluru.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","clean","clean"
"Process an order for 5 units of prod_ABC123 using UPI payment method.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","clean","clean"
"I would like to place an order for product prod_XYZ789, 1 unit, cash on delivery.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","clean","clean"
"Initiate an order with customer cust_987654 for two items, paid by card token.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","clean","clean"
"Please generate a new order for product prod_PQR456, 3 quantity, netbanking payment.","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","clean","clean"
"Can you create an order for an 'iphone 15 pro max 256gb blue' to be shipped to Jaipur?","Create_Customer_Order","/v1/orders","POST","{}","{""status"": ""success""}","valid","clean","clean"
