"query","api","endpoint","method","request","expected_response","scenario_type","test_category","notes"
"Create order with valid customer and items","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_456"", ""quantity"": 2}], ""shipping_address"": {""city"": ""New York"", ""line1"": ""123 Main St"", ""state"": ""NY"", ""country"": ""US"", ""postal_code"": ""10001""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_123""}}","{""status"": ""created"", ""order_id"": ""ord_123""}","valid","valid_flow","Test creating an order with valid customer and items"
"Create order with invalid customer id","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""invalid_id"", ""items"": [{""product_id"": ""prod_456"", ""quantity"": 2}], ""shipping_address"": {""city"": ""New York"", ""line1"": ""123 Main St"", ""state"": ""NY"", ""country"": ""US"", ""postal_code"": ""10001""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_123""}}","{""status"": ""error"", ""error_message"": ""Invalid customer id""}","edge","error_case","Test creating an order with invalid customer id"
"Create order with missing shipping address","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_456"", ""quantity"": 2}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_123""}}","{""status"": ""error"", ""error_message"": ""Missing shipping address""}","edge","error_case","Test creating an order with missing shipping address"
"Create order with valid customer and items, but with typo in query","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_456"", ""quantity"": 2}], ""shipping_address"": {""city"": ""New Yorke"", ""line1"": ""123 Main St"", ""state"": ""NY"", ""country"": ""US"", ""postal_code"": ""10001""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_123""}}","{""status"": ""created"", ""order_id"": ""ord_123""}","valid","typo","Test creating an order with valid customer and items, but with typo in query"
"Create order with invalid payment method","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_456"", ""quantity"": 2}], ""shipping_address"": {""city"": ""New York"", ""line1"": ""123 Main St"", ""state"": ""NY"", ""country"": ""US"", ""postal_code"": ""10001""}, ""payment"": {""method"": ""invalid_method"", ""card_token"": ""tok_123""}}","{""status"": ""error"", ""error_message"": ""Invalid payment method""}","edge","error_case","Test creating an order with invalid payment method"
"Create order with missing payment information","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_456"", ""quantity"": 2}], ""shipping_address"": {""city"": ""New York"", ""line1"": ""123 Main St"", ""state"": ""NY"", ""country"": ""US"", ""postal_code"": ""10001""}}","{""status"": ""error"", ""error_message"": ""Missing payment information""}","edge","error_case","Test creating an order with missing payment information"
"Create order with valid customer and items, but with typo in customer id","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_1234"", ""items"": [{""product_id"": ""prod_456"", ""quantity"": 2}], ""shipping_address"": {""city"": ""New York"", ""line1"": ""123 Main St"", ""state"": ""NY"", ""country"": ""US"", ""postal_code"": ""10001""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_123""}}","{""status"": ""error"", ""error_message"": ""Invalid customer id""}","edge","typo","Test creating an order with valid customer and items, but with typo in customer id"
"Create order with valid customer and items, but with missing item quantity","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_456""}], ""shipping_address"": {""city"": ""New York"", ""line1"": ""123 Main St"", ""state"": ""NY"", ""country"": ""US"", ""postal_code"": ""10001""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_123""}}","{""status"": ""error"", ""error_message"": ""Missing item quantity""}","edge","error_case","Test creating an order with valid customer and items, but with missing item quantity"
"Create order with valid customer and items, but with invalid item quantity","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_456"", ""quantity"": -1}], ""shipping_address"": {""city"": ""New York"", ""line1"": ""123 Main St"", ""state"": ""NY"", ""country"": ""US"", ""postal_code"": ""10001""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_123""}}","{""status"": ""error"", ""error_message"": ""Invalid item quantity""}","edge","error_case","Test creating an order with valid customer and items, but with invalid item quantity"
"Create order with valid customer and items, but with missing payment method","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_456"", ""quantity"": 2}], ""shipping_address"": {""city"": ""New York"", ""line1"": ""123 Main St"", ""state"": ""NY"", ""country"": ""US"", ""postal_code"": ""10001""}, ""payment"": {""card_token"": ""tok_123""}}","{""status"": ""error"", ""error_message"": ""Missing payment method""}","edge","error_case","Test creating an order with valid customer and items, but with missing payment method"
"Create order with valid customer and items, but with invalid payment method","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_456"", ""quantity"": 2}], ""shipping_address"": {""city"": ""New York"", ""line1"": ""123 Main St"", ""state"": ""NY"", ""country"": ""US"", ""postal_code"": ""10001""}, ""payment"": {""method"": ""invalid_method"", ""card_token"": ""tok_123""}}","{""status"": ""error"", ""error_message"": ""Invalid payment method""}","edge","error_case","Test creating an order with valid customer and items, but with invalid payment method"
