api,endpoint,nl_input,definition_of_api,paraphrase_type,embedding_model
login,https://example.com/api/login,usrname password Y signin,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,kindly log in using usrname and pass Y,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,"with username X, grant access","Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,use user and pasword Y to connect,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,use my creds to access account,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,signin to the system with username X and password,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,access account to the system with X and password,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,use my login details to sign-in,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,signin with account details username and Y,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,username X pass signin,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,grant access after verifying user X and password Y,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,connect to the system with user name and Y,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,start a session using username X and password Y,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,user name password Y enter,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,grant access after verifying usrname and pasword,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,"with username X, sign-in","Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,connect with account info usrname and Y,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,use usr and pass to logn,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,authenticate via pasword and user,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,start session using user name and pass Y,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,usrname password Y signin,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,kindly log in using usrname and pass Y,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,"with username X, grant access","Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,use user and pasword Y to connect,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,use my creds to access account,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,signin to the system with username X and password,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,access account to the system with X and password,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,use my login details to sign-in,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,signin with account details username and Y,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,username X pass signin,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,grant access after verifying user X and password Y,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
