"query","api","endpoint","method","request","expected_response","scenario_type","test_category","notes"
"Create order for customer 12345","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""12345"", ""items"": [{""quantity"": 1, ""product_id"": ""prod_123""}], ""payment"": {""method"": ""cod""}, ""shipping_address"": {""city"": ""New York""}}","{""status"": ""created"", ""message"": ""Order created and payment authorized.""}","valid","valid_flow","Simple order creation"
"Creaet ordr for user 98765","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""98765"", ""items"": [{""quantity"": 2, ""product_id"": ""prod_ABC""}], ""payment"": {""method"": ""card""}, ""shipping_address"": {""city"": ""London""}}","{""status"": ""created"", ""message"": ""Order created and payment authorized.""}","valid","typo","Typos in query"
"I want to buy product ABC","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""12345"", ""items"": [{""quantity"": 3, ""product_id"": ""prod_ABC""}], ""payment"": {""method"": ""upi""}, ""shipping_address"": {""city"": ""Paris""}}","{""status"": ""created"", ""message"": ""Order created and payment authorized.""}","valid","valid_flow","Simple order creation with product details"
"Place a new booking with COD payment","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""98765"", ""items"": [{""quantity"": 1, ""product_id"": ""prod_DEF""}], ""payment"": {""method"": ""cod""}, ""shipping_address"": {""city"": ""Berlin""}}","{""status"": ""created"", ""message"": ""Order created and payment authorized.""}","valid","valid_flow","Order creation with COD payment"
"How to cancel an order?","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""12345"", ""items"": [{""quantity"": 2, ""product_id"": ""prod_GHI""}], ""payment"": {""method"": ""card""}, ""shipping_address"": {""city"": ""Tokyo""}}","{""status"": ""created"", ""message"": ""Order created and payment authorized.""}","valid","valid_flow","Simple order creation"
"Create booking for user 55511","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""55511"", ""items"": [{""quantity"": 1, ""product_id"": ""prod_JKL""}], ""payment"": {""method"": ""upi""}, ""shipping_address"": {""city"": ""Mumbai""}}","{""status"": ""created"", ""message"": ""Order created and payment authorized.""}","valid","valid_flow","Order creation with valid user ID"
"Place an order with UPI payment","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""12345"", ""items"": [{""quantity"": 3, ""product_id"": ""prod_MNO""}], ""payment"": {""method"": ""upi""}, ""shipping_address"": {""city"": ""Sydney""}}","{""status"": ""created"", ""message"": ""Order created and payment authorized.""}","valid","valid_flow","Order creation with UPI payment"
"Create order with invalid payment","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""12345"", ""items"": [{""quantity"": 1, ""product_id"": ""prod_PQR""}], ""payment"": {""method"": ""invalid""}, ""shipping_address"": {""city"": ""New Delhi""}}","{""valid"": false, ""errors"": [""Invalid payment method""]}","edge","boundary","Edge case: invalid payment method"
"Place an order with empty customer ID","Create_Customer_Order","/v1/orders","POST","{""customer_id"": """", ""items"": [{""quantity"": 2, ""product_id"": ""prod_STU""}], ""payment"": {""method"": ""card""}, ""shipping_address"": {""city"": ""Toronto""}}","{""valid"": false, ""errors"": [""Missing required field: customer_id""]}","edge","boundary","Edge case: empty customer ID"
"Create an order with very long text","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""12345"", ""items"": [{""quantity"": 1, ""product_id"": ""prod_VWX""}], ""payment"": {""method"": ""cod""}, ""shipping_address"": {""city"": ""Very long city name that exceeds maximum length""}}","{""valid"": false, ""errors"": [""City name exceeds maximum length""]}","edge","boundary","Edge case: very long text"
"Create an order without required fields","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 1, ""product_id"": ""prod_YZ""}]}","{""valid"": false, ""errors"": [""Missing required fields: customer_id, payment""]}","extreme","error_case","Extreme case: missing required fields"
"Create an order with wrong type","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""12345"", ""items"": [{""quantity"": ""abc"", ""product_id"": ""prod_ABC""}], ""payment"": {""method"": ""card""}, ""shipping_address"": {""city"": ""Bangalore""}}","{""valid"": false, ""errors"": [""Invalid type for quantity""]}","extreme","error_case","Extreme case: wrong type"
"Create an order with invalid JSON","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""12345"", ""items"": ""Invalid JSON""}","{""valid"": false, ""errors"": [""Invalid JSON format""]}","extreme","error_case","Extreme case: invalid JSON"
