"query","api","endpoint","method","request","expected_response","scenario_type","test_category","notes"
"Create a new customer order with two items, paying by credit card. The shipping address is in Mumbai.","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_112233"", ""items"": [{""product_id"": ""prod_LMN456"", ""quantity"": 1}, {""product_id"": ""prod_PQR789"", ""quantity"": 3}], ""shipping_address"": {""line1"": ""101, Marine Drive"", ""city"": ""Mumbai"", ""state"": ""MH"", ""postal_code"": ""400020"", ""country"": ""IN""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_visa_4242""}, ""notes"": ""Please gift wrap the items.""}","{""order_id"": ""ord_20251201_0010"", ""status"": ""created"", ""message"": ""Order created and payment authorized."", ""total_amount"": 4550, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-05""}","valid","valid_flow","Standard successful order creation with card payment and optional notes."
"Place an order for a single product using UPI as the payment method. The delivery is to Bengaluru.","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_445566"", ""items"": [{""product_id"": ""prod_XYZ789"", ""quantity"": 1}], ""shipping_address"": {""line1"": ""22B, Koramangala 5th Block"", ""line2"": ""Near Forum Mall"", ""city"": ""Bengaluru"", ""state"": ""KA"", ""postal_code"": ""560095"", ""country"": ""IN""}, ""payment"": {""method"": ""upi"", ""upi_id"": ""user123@okaxis""}}","{""order_id"": ""ord_20251201_0011"", ""status"": ""pending_payment"", ""message"": ""Order created. Awaiting UPI payment confirmation."", ""total_amount"": 601, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-07""}","valid","valid_flow","Successful order creation with UPI, resulting in a pending payment status."
"Submit a cash on delivery (COD) order for multiple items for a customer in New Delhi.","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_778899"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}, {""product_id"": ""prod_GHI012"", ""quantity"": 1}], ""shipping_address"": {""line1"": ""C-45, Connaught Place"", ""city"": ""New Delhi"", ""state"": ""DL"", ""postal_code"": ""110001"", ""country"": ""IN""}, ""payment"": {""method"": ""cod""}}","{""order_id"": ""ord_20251201_0012"", ""status"": ""processing"", ""message"": ""Order created successfully. Payment to be collected on delivery."", ""total_amount"": 2498, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-06""}","valid","valid_flow","Standard COD order, which should result in a 'processing' status."
"I want to place an orde using netbanking. Shipping to Chennai.","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_998877"", ""items"": [{""product_id"": ""prod_JKL345"", ""quantity"": 5}], ""shipping_address"": {""line1"": ""789, T. Nagar"", ""city"": ""Chennai"", ""state"": ""TN"", ""postal_code"": ""600017"", ""country"": ""IN""}, ""payment"": {""method"": ""netbanking"", ""netbanking_id"": ""nb_HDFC_12345""}}","{""order_id"": ""ord_20251201_0013"", ""status"": ""pending_payment"", ""message"": ""Order created. Please complete payment via NetBanking."", ""total_amount"": 2500, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-08""}","valid","valid_flow","Typo in 'order'. Test case for a successful NetBanking payment flow."
"Create an order with a currency override to USD. Payment is with a card token.","Create_Customer_Order","/v1/orders?currency=USD","POST","{""customer_id"": ""cust_US1234"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 1}], ""shipping_address"": {""line1"": ""123 Main St"", ""city"": ""New York"", ""state"": ""NY"", ""postal_code"": ""10001"", ""country"": ""US""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_amex_1234""}}","{""order_id"": ""ord_20251201_0014"", ""status"": ""created"", ""message"": ""Order created and payment authorized."", ""total_amount"": 12.0, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-10""}","valid","valid_flow","Tests the optional 'currency' query parameter for international orders."
"Place a large order with many different items. Pay using card.","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_554433"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}, {""product_id"": ""prod_XYZ789"", ""quantity"": 1}, {""product_id"": ""prod_LMN456"", ""quantity"": 5}, {""product_id"": ""prod_PQR789"", ""quantity"": 1}, {""product_id"": ""prod_GHI012"", ""quantity"": 3}], ""shipping_address"": {""line1"": ""Flat 5A, Tower B, Prestige Towers"", ""city"": ""Hyderabad"", ""state"": ""TS"", ""postal_code"": ""500081"", ""country"": ""IN""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_mastercard_5555""}}","{""order_id"": ""ord_20251201_0015"", ""status"": ""created"", ""message"": ""Order created and payment authorized."", ""total_amount"": 7848, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-06""}","valid","valid_flow","Tests an order with a larger number of items in the cart."
"Submit a simple order with just one item and a COD paymnet.","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_332211"", ""items"": [{""product_id"": ""prod_GHI012"", ""quantity"": 1}], ""shipping_address"": {""line1"": ""House No. 111"", ""city"": ""Pune"", ""state"": ""MH"", ""postal_code"": ""411007"", ""country"": ""IN""}, ""payment"": {""method"": ""cod""}}","{""order_id"": ""ord_20251201_0016"", ""status"": ""processing"", ""message"": ""Order created successfully. Payment to be collected on delivery."", ""total_amount"": 500, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}","valid","valid_flow","Typo in 'payment'. A minimal valid COD order."
"A customer is placing an order with a two-line adress using a UPI ID.","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123123"", ""items"": [{""product_id"": ""prod_PQR789"", ""quantity"": 2}], ""shipping_address"": {""line1"": ""A-Wing, 404"", ""line2"": ""Sunshine Apartments, Sector 15"", ""city"": ""Gurgaon"", ""state"": ""HR"", ""postal_code"": ""122001"", ""country"": ""IN""}, ""payment"": {""method"": ""upi"", ""upi_id"": ""9876543210@paytm""}}","{""order_id"": ""ord_20251201_0017"", ""status"": ""pending_payment"", ""message"": ""Order created. Awaiting UPI payment confirmation."", ""total_amount"": 1198, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-05""}","valid","valid_flow","Typo in 'address'. Valid order including the optional 'line2' field."
"Process a transaction for a customer in Kolkata via NetBanking.","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_WB01"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 1}, {""product_id"": ""prod_XYZ789"", ""quantity"": 1}], ""shipping_address"": {""line1"": ""15, Park Street"", ""city"": ""Kolkata"", ""state"": ""WB"", ""postal_code"": ""700016"", ""country"": ""IN""}, ""payment"": {""method"": ""netbanking"", ""netbanking_id"": ""nb_ICICI_9876""}}","{""order_id"": ""ord_20251201_0018"", ""status"": ""pending_payment"", ""message"": ""Order created. Please complete payment via NetBanking."", ""total_amount"": 1600, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-08""}","valid","valid_flow","Standard valid NetBanking order."
"Create an order without any special notes. Pay with a card.","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_321321"", ""items"": [{""product_id"": ""prod_LMN456"", ""quantity"": 2}], ""shipping_address"": {""line1"": ""Plot 14, Jubilee Hills"", ""city"": ""Hyderabad"", ""state"": ""TS"", ""postal_code"": ""500033"", ""country"": ""IN""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_visa_1111""}}","{""order_id"": ""ord_20251201_0019"", ""status"": ""created"", ""message"": ""Order created and payment authorized."", ""total_amount"": 1400, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-06""}","valid","valid_flow","A valid order that omits all optional fields like 'notes' and 'line2'."
