"t_id","query","intent_type","confidence_score"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a new customer order with standard shipping details.","action","0.95"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I need to place an order for a new customer account.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit a purchase order using the provided item list and payment information.","action","0.94"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Initiate an order for subscription service renewal.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","How do I create an order through the API?","info","0.8"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Process a customer order from a web store cart.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Generate an order ID for a new transaction.","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Can I simulate an order creation without affecting inventory?","info","0.82"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Place an order with tokenized payment details.","action","0.94"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Record a new sale for a customer via POS system.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a customer order, including tax calculation and shipping costs.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I need to add a new order for an existing customer.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Utilize the API to establish a customer purchase.","action","0.89"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Perform an order creation with a specific X-Request-ID for idempotency.","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","What API is used to create customer orders?","info","0.81"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Can I create an order with a 'simulate=true' parameter?","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","New order placement for an e-commerce platform.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Programmatically create a customer's shopping cart order.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Execute order creation with inventory validation.","action","0.94"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit an order with a pre-authorized payment.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API for creating sales orders.","action","0.88"
"347ac849-20ac-4cd7-ae49-288d9e96484b","How to handle errors during order creation?","info","0.78"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a new order for a customer from CRM system.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Does this API support creating orders for digital goods?","info","0.79"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Place an order with multiple line items and discounts.","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create an order for a guest user without a customer ID.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","What's the endpoint for creating customer orders?","info","0.8"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I need to register a new order in the system.","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Perform a dry run for a new customer order.","action","0.89"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Test order creation with insufficient stock scenario.","action","0.88"
