"query","api","endpoint","method","request","expected_response","scenario_type","test_category","notes"
"creat order with payment","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 2, ""product_id"": ""prod_ABC123""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""items"": [{""price"": 999, ""quantity"": 2, ""product_id"": ""prod_ABC123""}], ""status"": ""created"", ""message"": ""Order created and payment authorized."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0003"", ""total_amount"": 1998, ""estimated_delivery"": ""2025-12-04""}","valid","typo","User with typo in query"
"creat order with payment","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 1, ""product_id"": ""prod_ABC123""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""items"": [{""price"": 999, ""quantity"": 1, ""product_id"": ""prod_ABC123""}], ""status"": ""created"", ""message"": ""Order created and payment authorized."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0007"", ""total_amount"": 999, ""estimated_delivery"": ""2025-12-04""}","valid","typo","User with typo in query"
"creat order with free shipping","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 1, ""product_id"": ""prod_ABC123""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}, ""shipping_type"": ""free""}","{""items"": [{""price"": 999, ""quantity"": 1, ""product_id"": ""prod_ABC123""}], ""status"": ""created"", ""message"": ""Order created and payment authorized."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0015"", ""total_amount"": 999, ""estimated_delivery"": ""2025-12-04""}","valid","typo","User with typo in query"
"creat order with gift message","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 2, ""product_id"": ""prod_XYZ789""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_555111"", ""shipping_address"": {""city"": ""Bengaluru"", ""line1"": ""45 MG Road"", ""line2"": null, ""state"": ""KA"", ""country"": ""IN"", ""postal_code"": ""560001""}, ""gift_message"": ""Happy Birthday!""}","{""items"": [{""price"": 601, ""quantity"": 2, ""product_id"": ""prod_XYZ789""}], ""status"": ""created"", ""message"": ""Order created and payment authorized."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0018"", ""total_amount"": 1202, ""estimated_delivery"": ""2025-12-06""}","valid","typo","User with typo in query"
"creat order with gift wrap and gift message","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 1, ""product_id"": ""prod_ABC123""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}, ""gift_wrap"": true, ""gift_message"": ""Happy Birthday!""}","{""items"": [{""price"": 999, ""quantity"": 1, ""product_id"": ""prod_ABC123""}], ""status"": ""created"", ""message"": ""Order created and payment authorized."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0021"", ""total_amount"": 999, ""estimated_delivery"": ""2025-12-04""}","valid","typo","User with typo in query"
"creat order with gift wrap and gift message and free shipping","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 2, ""product_id"": ""prod_XYZ789""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_555111"", ""shipping_address"": {""city"": ""Bengaluru"", ""line1"": ""45 MG Road"", ""line2"": null, ""state"": ""KA"", ""country"": ""IN"", ""postal_code"": ""560001""}, ""gift_wrap"": true, ""gift_message"": ""Happy Birthday!"", ""shipping_type"": ""free""}","{""items"": [{""price"": 601, ""quantity"": 2, ""product_id"": ""prod_XYZ789""}], ""status"": ""created"", ""message"": ""Order created and payment authorized."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0024"", ""total_amount"": 1202, ""estimated_delivery"": ""2025-12-06""}","valid","typo","User with typo in query"
"creat order with gift wrap and gift message and free shipping and discount","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 1, ""product_id"": ""prod_ABC123""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}, ""gift_wrap"": true, ""gift_message"": ""Happy Birthday!"", ""shipping_type"": ""free"", ""discount"": 10}","{""items"": [{""price"": 999, ""quantity"": 1, ""product_id"": ""prod_ABC123""}], ""status"": ""created"", ""message"": ""Order created and payment authorized."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0027"", ""total_amount"": 899, ""estimated_delivery"": ""2025-12-04""}","valid","typo","User with typo in query"
"creat order with gift wrap and gift message and free shipping and discount and UPI payment","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 2, ""product_id"": ""prod_XYZ789""}], ""payment"": {""method"": ""upi"", ""upi_id"": ""milan@upi""}, ""customer_id"": ""cust_555111"", ""shipping_address"": {""city"": ""Bengaluru"", ""line1"": ""45 MG Road"", ""line2"": null, ""state"": ""KA"", ""country"": ""IN"", ""postal_code"": ""560001""}, ""gift_wrap"": true, ""gift_message"": ""Happy Birthday!"", ""shipping_type"": ""free"", ""discount"": 10}","{""items"": [{""price"": 601, ""quantity"": 2, ""product_id"": ""prod_XYZ789""}], ""status"": ""pending_payment"", ""message"": ""Order created. Awaiting UPI payment confirmation."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0030"", ""total_amount"": 1202, ""estimated_delivery"": ""2025-12-06""}","valid","typo","User with typo in query"
"creat order with gift wrap and gift message and free shipping and discount and UPI payment and COD payment","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 1, ""product_id"": ""prod_ABC123""}], ""payment"": {""method"": ""cod""}, ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}, ""gift_wrap"": true, ""gift_message"": ""Happy Birthday!"", ""shipping_type"": ""free"", ""discount"": 10}","{""items"": [{""price"": 999, ""quantity"": 1, ""product_id"": ""prod_ABC123""}], ""status"": ""pending_payment"", ""message"": ""Order created. Awaiting COD payment."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0033"", ""total_amount"": 899, ""estimated_delivery"": ""2025-12-04""}","valid","typo","User with typo in query"
"creat order with gift wrap and gift message and free shipping and discount and UPI payment and COD payment and Net Banking payment","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 2, ""product_id"": ""prod_XYZ789""}], ""payment"": {""method"": ""netbanking""}, ""customer_id"": ""cust_555111"", ""shipping_address"": {""city"": ""Bengaluru"", ""line1"": ""45 MG Road"", ""line2"": null, ""state"": ""KA"", ""country"": ""IN"", ""postal_code"": ""560001""}, ""gift_wrap"": true, ""gift_message"": ""Happy Birthday!"", ""shipping_type"": ""free"", ""discount"": 10}","{""items"": [{""price"": 601, ""quantity"": 2, ""product_id"": ""prod_XYZ789""}], ""status"": ""pending_payment"", ""message"": ""Order created. Awaiting Net Banking payment."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0036"", ""total_amount"": 1202, ""estimated_delivery"": ""2025-12-06""}","valid","typo","User with typo in query"
