"query","api","endpoint","method","request","expected_response","scenario_type","test_category","notes"
"Create a new customer order with valid details","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}], ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}}","{""status"": ""created"", ""message"": ""Order created and payment authorized."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0001"", ""total_amount"": 2599, ""estimated_delivery"": ""2025-12-04""}","valid","valid_flow","Test creating a new order with valid customer and payment details"
"Create order with teypod product id and valdid payment method","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}], ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}}","{""status"": ""created"", ""message"": ""Order created and payment authorized."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0001"", ""total_amount"": 2599, ""estimated_delivery"": ""2025-12-04""}","valid","typo","Test creating a new order with a typo in the product id"
"Create order with insufficient stock","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 100}], ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}}","{""valid"": false, ""errors"": [""Insufficient stock for product prod_ABC123. Available: 5, requested: 100""], ""simulation"": true}","edge","boundary","Test creating a new order with insufficient stock"
"Create order with valdid payment method and shipping adress","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}], ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}}","{""status"": ""created"", ""message"": ""Order created and payment authorized."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0001"", ""total_amount"": 2599, ""estimated_delivery"": ""2025-12-04""}","valid","typo","Test creating a new order with a typo in the shipping address"
"Create order with missing payment method","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}], ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""valid"": false, ""errors"": [""Payment method is required""]}","edge","boundary","Test creating a new order with missing payment method"
"Create order with invalid payment method","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}], ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}, ""payment"": {""method"": ""invalid"", ""card_token"": ""tok_test_4242""}}","{""valid"": false, ""errors"": [""Invalid payment method""]}","edge","boundary","Test creating a new order with invalid payment method"
"Create order with missing shipping address","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}}","{""valid"": false, ""errors"": [""Shipping address is required""]}","edge","boundary","Test creating a new order with missing shipping address"
"Create order with invalid shipping address","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}], ""shipping_address"": {""city"": """", ""line1"": """", ""state"": """", ""country"": """", ""postal_code"": """"}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}}","{""valid"": false, ""errors"": [""Invalid shipping address""]}","edge","boundary","Test creating a new order with invalid shipping address"
"Create order with missing customer id","Create_Customer_Order","/v1/orders","POST","{""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}], ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}}","{""valid"": false, ""errors"": [""Customer id is required""]}","edge","boundary","Test creating a new order with missing customer id"
"Create order with invalid customer id","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""invalid"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}], ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}, ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}}","{""valid"": false, ""errors"": [""Invalid customer id""]}","edge","boundary","Test creating a new order with invalid customer id"
