"query","api","endpoint","method","request","expected_response","scenario_type","test_category","notes"
"Create order for customer 987654","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 2, ""product_id"": ""prod_ABC123""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""items"": [{""price"": 999, ""quantity"": 2, ""product_id"": ""prod_ABC123""}], ""status"": ""created"", ""message"": ""Order created and payment authorized."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0001"", ""total_amount"": 1998, ""estimated_delivery"": ""2025-12-04""}","valid","valid_flow","Standard order creation"
"Place a new booking with COD payment","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 1, ""product_id"": ""prod_XYZ789""}], ""payment"": {""method"": ""cod""}, ""customer_id"": ""cust_555111"", ""shipping_address"": {""city"": ""Bengaluru"", ""line1"": ""45 MG Road"", ""state"": ""KA"", ""country"": ""IN"", ""postal_code"": ""560001""}}","{""items"": [{""price"": 601, ""quantity"": 1, ""product_id"": ""prod_XYZ789""}], ""status"": ""created"", ""message"": ""Order created and payment awaited."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0002"", ""total_amount"": 601, ""estimated_delivery"": ""2025-12-06""}","valid","valid_flow","COD payment order creation"
"I want to buy product ABC","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 2, ""product_id"": ""prod_ABC123""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""items"": [{""price"": 999, ""quantity"": 2, ""product_id"": ""prod_ABC123""}], ""status"": ""created"", ""message"": ""Order created and payment authorized."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0003"", ""total_amount"": 1998, ""estimated_delivery"": ""2025-12-04""}","valid","valid_flow","Simple product purchase"
"creaet ordr for custmer 555111","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 1, ""product_id"": ""prod_PQR456""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_555111"", ""shipping_address"": {""city"": ""Bengaluru"", ""line1"": ""45 MG Road"", ""state"": ""KA"", ""country"": ""IN"", ""postal_code"": ""560001""}}","{""valid"": false, ""errors"": [""Invalid customer ID: custmer 555111""], ""simulation"": false}","edge","typo","Typo in customer ID"
"Create order with multiple products","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 2, ""product_id"": ""prod_ABC123""}, {""quantity"": 1, ""product_id"": ""prod_XYZ789""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""items"": [{""price"": 999, ""quantity"": 2, ""product_id"": ""prod_ABC123""}, {""price"": 601, ""quantity"": 1, ""product_id"": ""prod_XYZ789""}], ""status"": ""created"", ""message"": ""Order created and payment authorized."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0004"", ""total_amount"": 2600, ""estimated_delivery"": ""2025-12-04""}","valid","valid_flow","Multiple product order creation"
"Update customer details","Create_Customer_Order","/v1/orders","POST","{""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""valid"": false, ""errors"": [""Missing required field: items""], ""simulation"": false}","valid","error_case","Missing required items field"
"Create order with invalid product ID","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 2, ""product_id"": ""prod_ABC123""}, {""quantity"": 1, ""product_id"": ""invalid_product""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""valid"": false, ""errors"": [""Invalid product ID: invalid_product""], ""simulation"": false}","edge","boundary","Invalid product ID"
"Place order with empty shipping address","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 1, ""product_id"": ""prod_XYZ789""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_555111"", ""shipping_address"": null}","{""valid"": false, ""errors"": [""Missing required field: shipping_address""], ""simulation"": false}","valid","error_case","Empty shipping address"
"Create order with very long shipping address","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 1, ""product_id"": ""prod_XYZ789""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_555111"", ""shipping_address"": {""city"": ""Bengaluru"", ""line1"": ""45 MG Road"", ""line2"": ""Line 2"", ""state"": ""KA"", ""country"": ""IN"", ""postal_code"": ""560001"", ""line3"": ""Line 3"", ""line4"": ""Line 4"", ""line5"": ""Line 5"", ""line6"": ""Line 6"", ""line7"": ""Line 7"", ""line8"": ""Line 8"", ""line9"": ""Line 9"", ""line10"": ""Line 10""}}","{""valid"": false, ""errors"": [""Shipping address too long""], ""simulation"": false}","edge","boundary","Very long shipping address"
"Create order with missing payment method","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 1, ""product_id"": ""prod_XYZ789""}], ""customer_id"": ""cust_555111"", ""shipping_address"": {""city"": ""Bengaluru"", ""line1"": ""45 MG Road"", ""state"": ""KA"", ""country"": ""IN"", ""postal_code"": ""560001""}}","{""valid"": false, ""errors"": [""Missing required field: payment""], ""simulation"": false}","valid","error_case","Missing payment field"
"Create order with invalid payment method","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 1, ""product_id"": ""prod_XYZ789""}], ""payment"": {""method"": ""invalid_payment""}, ""customer_id"": ""cust_555111"", ""shipping_address"": {""city"": ""Bengaluru"", ""line1"": ""45 MG Road"", ""state"": ""KA"", ""country"": ""IN"", ""postal_code"": ""560001""}}","{""valid"": false, ""errors"": [""Invalid payment method: invalid_payment""], ""simulation"": false}","edge","boundary","Invalid payment method"
