"t_id","query","intent_type","confidence_score"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a new customer order with standard shipping.","action","0.95"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I need to place an order for customer ID 54321.","action","0.94"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit a purchase order with credit card payment.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","How do I create a new order using the API?","info","0.88"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Process a new e-commerce order for a registered user.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Generate an order for a subscription service.","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Initiate an order with specific item details.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Can I simulate an order creation without affecting inventory?","action","0.89"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a manual order through the system.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","What is the endpoint for creating customer orders?","info","0.87"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Develop an application that creates customer orders.","info","0.86"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I want to add a new order to the database.","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit an order with a pre-authorized payment token.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a new order for a guest user.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Place an order with specific shipping address.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Validate order creation logic with a dry run.","action","0.89"
"347ac849-20ac-4cd7-ae49-288d9e96484b","How to use the Create Customer Order API?","info","0.88"
"347ac849-20ac-4cd7-ae49-288d9e96484b","New order API documentation.","info","0.85"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Programmatically create an order.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Initiate an order for a corporate client.","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create an order with multiple items.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","What are the required fields for creating an order?","info","0.87"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Testing order submission functionality.","action","0.89"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Automate order placement for inventory replenishment.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API to generate customer orders.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Add a new order to the e-commerce platform.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Perform a test order without actual payment.","action","0.89"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit an order using a shopping cart application.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a new order for customer support.","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Documentation for order creation API.","info","0.85"
