"query","api","endpoint","method","request","expected_response","scenario_type","test_category","notes"
"Create order for customer 12345","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 2, ""product_id"": ""prod_ABC123""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""items"": [{""price"": 999, ""quantity"": 2, ""product_id"": ""prod_ABC123""}], ""status"": ""created"", ""message"": ""Order created and payment authorized."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0001"", ""total_amount"": 1998, ""estimated_delivery"": ""2025-12-04""}","valid","valid_flow","Realistic order creation"
"Place a new booking with COD payment","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 1, ""product_id"": ""prod_PQR456""}], ""payment"": {""method"": ""cod""}, ""customer_id"": ""cust_555111"", ""shipping_address"": {""city"": ""Bengaluru"", ""line1"": ""45 MG Road"", ""state"": ""KA"", ""country"": ""IN"", ""postal_code"": ""560001""}}","{""items"": [{""price"": 799, ""quantity"": 1, ""product_id"": ""prod_PQR456""}], ""status"": ""created"", ""message"": ""Order created and payment pending."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0002"", ""total_amount"": 799, ""estimated_delivery"": ""2025-12-06""}","valid","valid_flow","Realistic COD payment order"
"I want to buy product ABC","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 1, ""product_id"": ""prod_ABC123""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""items"": [{""price"": 999, ""quantity"": 1, ""product_id"": ""prod_ABC123""}], ""status"": ""created"", ""message"": ""Order created and payment authorized."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0003"", ""total_amount"": 999, ""estimated_delivery"": ""2025-12-04""}","valid","valid_flow","Realistic product purchase"
"Creaet ordr for custmer 12345","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 2, ""product_id"": ""prod_ABC123""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""valid"": false, ""errors"": [""Invalid request: customer ID is missing""]}","edge","typo","Typo in query string"
"Create order with empty items array","Create_Customer_Order","/v1/orders","POST","{""items"": [], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""valid"": false, ""errors"": [""Invalid request: items array is empty""]}","edge","boundary","Empty items array"
"I want to buy product ABC with invalid payment method","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 1, ""product_id"": ""prod_ABC123""}], ""payment"": {""method"": ""invalid""}, ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""valid"": false, ""errors"": [""Invalid request: payment method is invalid""]}","edge","error_case","Invalid payment method"
"Creaet ordr with missing customer ID","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 2, ""product_id"": ""prod_ABC123""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""valid"": false, ""errors"": [""Invalid request: customer ID is missing""]}","edge","error_case","Missing customer ID"
"I want to buy product ABC with invalid quantity","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": -1, ""product_id"": ""prod_ABC123""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""valid"": false, ""errors"": [""Invalid request: quantity is invalid""]}","edge","error_case","Invalid quantity"
"Place order with empty customer ID","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 1, ""product_id"": ""prod_ABC123""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": """", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""valid"": false, ""errors"": [""Invalid request: customer ID is missing""]}","edge","boundary","Empty customer ID"
"Create order for customer 12345 with missing items","Create_Customer_Order","/v1/orders","POST","{""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""valid"": false, ""errors"": [""Invalid request: items array is missing""]}","edge","error_case","Missing items array"
"I want to buy product ABC with invalid product ID","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 1, ""product_id"": ""invalid_product""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""valid"": false, ""errors"": [""Invalid request: product ID is invalid""]}","edge","error_case","Invalid product ID"
"Place order with missing payment method","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 1, ""product_id"": ""prod_ABC123""}], ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""valid"": false, ""errors"": [""Invalid request: payment method is missing""]}","edge","error_case","Missing payment method"
"Create order for customer 12345","Create_Customer_Order","/v1/orders","POST","{""items"": [{""quantity"": 2, ""product_id"": ""prod_ABC123""}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""customer_id"": ""cust_987654"", ""shipping_address"": {""city"": ""Jaipur"", ""line1"": ""12 Park Lane"", ""line2"": null, ""state"": ""RJ"", ""country"": ""IN"", ""postal_code"": ""302020""}}","{""items"": [{""price"": 999, ""quantity"": 2, ""product_id"": ""prod_ABC123""}], ""status"": ""created"", ""message"": ""Order created and payment authorized."", ""currency"": ""INR"", ""order_id"": ""ord_20251129_0004"", ""total_amount"": 1998, ""estimated_delivery"": ""2025-12-04""}","valid","valid_flow","Realistic order creation"
